UF;YEAR;MONTH;RAIN;DENGUE
PR;2018;07;219.6;0.0
PR;2018;08;2152.8;0.0
PR;2018;09;3238.2;0.0
PR;2018;10;5534.8;0.0
PR;2018;11;2432.2;0.0
PR;2018;12;1968.4;0.0
PR;2019;01;4274.6;0.0
PR;2019;02;4461.6;0.0
PR;2019;03;3250.0;0.0
PR;2019;04;2754.6;0.0
PR;2019;05;4169.6;0.0
PR;2019;06;1241.0;0.0
PR;2019;07;816.6;0.0
PR;2019;08;597.0;0.0
PR;2019;09;1500.4;0.0
PR;2019;10;2095.2;0.0
PR;2019;11;3083.2;0.0
PR;2019;12;4863.0;0.0
RS;2015;01;7161.2;0.0
RS;2015;02;3942.2;0.0
RS;2015;03;2638.4;0.0
RS;2015;04;3059.4;0.0
RS;2015;05;4792.4;0.0
RS;2015;06;4908.4;0.0
RS;2015;07;7400.8;0.0
RS;2015;08;2918.8;0.0
RS;2015;09;5532.2;0.0
RS;2015;10;9491.8;0.0
RS;2015;11;5674.8;0.0
RS;2015;12;10341.8;0.0
RS;2016;01;3554.2;0.0
RS;2016;02;4066.2;0.0
RS;2016;03;7094.4;0.0
RS;2016;04;7445.6;0.0
RS;2016;05;2516.2;0.0
RS;2016;06;768.4;0.0
RS;2016;07;4302.8;0.0
RS;2016;08;4652.6;0.0
RS;2016;09;2391.2;0.0
RS;2016;10;9883.2;0.0
RS;2016;11;5052.4;0.0
RS;2016;12;6149.8;0.0
RS;2017;01;5866.4;0.0
RS;2017;02;5525.0;0.0
RS;2017;03;6100.2;0.0
RS;2017;04;8108.6;0.0
RS;2017;05;11776.4;0.0
RS;2017;06;5062.0;0.0
RS;2017;07;899.6;0.0
RS;2017;08;6132.8;0.0
RS;2017;09;5572.0;0.0
RS;2017;10;9266.6;0.0
RS;2017;11;5175.4;0.0
RS;2017;12;4160.0;0.0
RS;2018;01;6684.6;0.0
RS;2018;02;3221.2;0.0
RS;2018;03;6457.4;0.0
RS;2018;04;3474.0;0.0
RS;2018;05;4574.0;0.0
RS;2018;06;4917.2;0.0
RS;2018;07;6018.0;0.0
RS;2018;08;5657.0;0.0
RS;2018;09;7434.8;0.0
RS;2018;10;6385.4;0.0
RS;2018;11;7293.4;0.0
RS;2018;12;5207.4;0.0
RS;2019;01;10280.2;0.0
RS;2019;02;4571.4;0.0
RS;2019;03;5158.0;0.0
RS;2019;04;5981.2;0.0
RS;2019;05;8658.6;0.0
RS;2019;06;2040.2;0.0
RS;2019;07;5742.0;0.0
RS;2019;08;3544.2;0.0
RS;2019;09;3235.4;0.0
RS;2019;10;11955.6;0.0
RS;2019;11;5579.4;0.0
RS;2019;12;2873.2;0.0
